id,date,stream_name,stream_order,veg_type,river_morphology,intermittent,river_gradient,sed_type,latitude,longitude,water_height,sed_deposition,algal_mats,macrophytes,ph,do_mgl,flow_variation,contamination,sed_type_recode,river_gradient_recode,veg_type_recode,veg_type_recode2,veg_type_recode3,algal_mats_recode,slope,mgL_per_hr
S19S_0073,12-Aug-19,Cart Creek,1,Broadleaf deciduous tree. Shrub,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),42.7694593,-70.9167967,32,Pool lip,No,No,6.5,6.41,Natural flow (seasonal),"NA",Silt,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.42,25.45
S19S_0074,5-Aug-19,Columbia,8,Shrub,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,46.376303,-119.272953,23,Shallow waters near the shore,No,No,6.5,"NA",Dam (hydropower or other),No,Sand,Gentle gradient,Shrub,Shrub,Shrub,No,-0.026666666666666665,1.4533333333333334
S19S_0075,6-Aug-19,Columbia,8,Shrub. Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),46.694842,-119.465591,37,Shallow waters near the shore,No,Low,6.5,"NA",Dam (hydropower or other),No,Gravel,Gentle gradient,Shrub,Shrub,Shrub,No,-0.01,0.6633333333333333
S19S_0076,6-Aug-19,Columbia,8,Grass,Multi-channel,Intermittent,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),46.679318,-119.46257,26,Shallow waters near the shore,No,Low,6.5,"NA",Dam (hydropower or other),No,Silt,Gentle gradient,Grass,Grass,Grass,No,-0.07500000000000001,4.475
S19S_0077,18-Aug-19,Cache La Poudre,6,Shrub. Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),40.664282,-105.223622,23,Riffle,No,No,6.5,"NA",Natural flow (seasonal),No,Gravel,Gentle gradient,Shrub,Shrub,Shrub,No,-0.026666666666666665,1.5033333333333334
S19S_0078,6-Sep-19,Little Wolf Creek,2,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Sand,43.43138889,-123.5855556,30,Shallow waters near the shore,No,No,7,"NA",Natural flow (seasonal),No,Sand,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,NA,NA
S19S_0079,6-Sep-19,Umpqua,6,Needleleaf evergreen tree. Broadleaf deciduous tree,Multi-channel,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,43.6368,-123.572,46,Downstream from obstacles,High,Low,7.5-8,"NA",Natural flow (seasonal),Yes,Sand,Gentle gradient,Needleleaf evergreen,Needleleaf,evergreen,High,NA,NA
S19S_0080,20-Aug-19,Rio Grande,7,Broadleaf deciduous tree. Shrub,Multi-channel,"NA",Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),34.950833,-106.681271,5,Pool lip,Low,No,8.11,6.66,"NA","NA",Silt,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,-0.065,3.7199999999999998
S19S_0081,19-Aug-19,Northeast Branch of Anacostia,4,Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),38.96027778,-76.92611111,14.5,Pool lip,No,No,6.5,"NA","NA","NA",Gravel,Steep gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.11,6.42
S19S_0082,19-Aug-19,Muddy Creek,3,Grass,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),38.8748139,-76.5464751,40,Marsh,No,High,7,"NA","NA","NA",Silt,Gentle gradient,Grass,Grass,Grass,No,NA,NA
S19S_0083,19-Aug-19,Sangamon,5,Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,40.31083,-88.3227,6,Shallow waters near the shore,No,Low,7.5,"NA",Natural flow (seasonal). Evapotranspiration,Yes,Sand,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.1,6.02
S19S_0084,19-Aug-19,Watershed 3 stream,1,Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),43.954722,-71.722778,16,Pool lip,No,No,6,"NA",Natural flow (seasonal),No,Gravel,Steep gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.016666666666666666,1.05
S19S_0085,19-Aug-19,Mores Creek,5,Broadleaf deciduous tree. Shrub,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),43.64815,-115.98908,8.25,Shallow waters near the shore,No,Low,7,"NA",Natural flow (seasonal). Dam (hydropower or other). Irrigation pumping,Yes,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.03666666666666667,2.16
S19S_0086,19-Aug-19,Red Butte Creek,3,Broadleaf deciduous tree. Shrub,Single-channel meandering,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),40.7799,-111.8054,7,Shallow waters near the shore,Low,No,8,"NA",Natural flow (seasonal). Evapotranspiration,No,Gravel,Steep gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,-0.05,2.78
S19S_0087,21-Aug-19,Dobson Creek,2,Broadleaf deciduous tree. Grass,Single-channel meandering,Intermittent,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),43.1233625,-116.7744702,2,Upstream of weir barrier deposition,No,No,7.25,"NA",Natural flow (seasonal),No,Gravel,Steep gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.18,10.94
S19S_0089,26-Aug-19,Stroubles Creek,1,Shrub. Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),37.21012,-80.44529,10,Shallow waters near the shore,Low,No,7,9.95,a few retention ponds upstream - it's a flashy urban system,Yes,Gravel,Gentle gradient,Shrub,Shrub,Shrub,Low,-0.28,16.51
S19S_0090,17-Aug-19,Cobb Mill Creek,1,Broadleaf deciduous tree,Single-channel straight,"NA",Relatively flat/gentle gradient (e.g. valleys),Sand,37.291374,-75.930615,3,Shallow waters near the shore,No,No,6.5,5.8,"NA","NA",Sand,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.025,1.345
S19S_0091,25-Aug-19,Copper River,"NA",Broadleaf deciduous tree. Shrub,Multi-channel,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,60.520879,-144.837479,30,Downstream from obstacles,No,No,6.5,"NA",Glacial melt,No,Sand,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,NA,NA
S19S_0092,3-Sep-19,Blythe,"NA",Broadleaf deciduous tree. Shrub,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),52.419705,-1.704293,37,Downstream from obstacles,No,No,7,0.7,Flow variation primarily due to sewage treatment plant,Yes,Silt,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,NA,NA
S19S_0093,19-Aug-19,Wood Brook,"NA",Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,52.800611,-2.304861,5,Shallow waters near the shore,No,No,7.5,8.2,Natural flow (seasonal). There are a few small irrigation reservoirs in the catchment which occassional significantly change the natural flow,Yes,Sand,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,NA,NA
S19S_0094,19-Aug-19,Icacos,"NA",Broadleaf evergreen tree,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,18.2756318,-65.7852594,19,Inside bend of a stream,No,No,6.5,7.84,Evapotranspiration,No,Sand,Gentle gradient,Broadleaf evergreen,Broadleaf,evergreen,No,NA,NA
S19S_0096,3-Sep-19,Orco,"NA",Broadleaf deciduous tree. Grass,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),45.2475946,7.8046509,18,Meander point bar,Low,No,6.5,"NA",Natural flow (seasonal). Irrigation pumping,Yes,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,NA,NA
S19S_0097,18-Aug-19,Logan,5,Broadleaf deciduous tree. Shrub,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),41.720805,-111.886477,25,Shallow waters near the shore,Low,High,8.49,"NA",Natural flow (seasonal). Snow Melt,Yes,Silt,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,-0.15,8.77
S19S_0098,18-Aug-19,Logan,3,Needleleaf evergreen tree. Shrub,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),41.950345,-111.580451,3.5,Shallow waters near the shore,Low,No,8.31,"NA",Natural flow (seasonal). Snow melt,No,Gravel,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,Low,-0.11,6.43
S19S_0099,19-Aug-19,Great Miami,7,Broadleaf deciduous tree. Grass,Single-channel meandering,Intermittent,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),39.2386399,-84.7121004,19.2,Shallow waters near the shore,No,No,7.5,"NA",Natural flow (seasonal). Evapotranspiration,Yes,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.03333333333333333,1.96
S19S_0100,20-Aug-19,East River,2,Shrub. Grass,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),38.922712,-106.950743,34,Inside bend of a stream,No,No,7.24,7.6,Natural flow (seasonal),No,Gravel,Gentle gradient,Shrub,Shrub,Shrub,No,-0.03,2.05
